date,hour,salon,maly_pokoj,kuchnia,WC,outside
22-09-19,22:18,21.0,21.0,22.0,21.0,11.1
22-09-19,22:18,21.0,21.0,22.0,21.0,11.2
22-09-19,22:34,21.0,21.0,22.0,21.0,10.7
23-09-19,16:25,21.0,21.0,22.0,21.0,19.6
23-09-19,22:34,20.0,22.0,22.0,21.0,12.4
24-09-19,14:00,21.0,23.0,23.0,23.0,18.2
24-09-19,16:25,21.0,23.0,22.0,23.0,18.0
24-09-19,22:00,21.0,23.0,22.0,24.0,11.0
24-09-19,02:00,21.0,23.0,22.0,24.0,11.0
24-09-19,08:00,21.0,23.0,22.0,24.0,11.0
25-09-19,10:00,21.0,23.0,22.0,22.0,14.1
25-09-19,16:00,20.0,22.0,22.0,21.0,17.9
25-09-19,22:00,21.0,24.0,22.0,23.0,15.1
26-09-19,02:00,21.0,24.0,22.0,24.0,14.9
26-09-19,08:00,21.0,24.0,22.0,24.0,13.0
26-09-19,10:00,21.0,24.0,22.0,24.0,17.3
26-09-19,14:00,21.0,23.0,22.0,22.0,17.8
26-09-19,16:00,21.0,22.0,22.0,22.0,18.3
26-09-19,22:00,21.0,23.0,22.0,24.0,14.9
27-09-19,02:00,21.0,23.0,22.0,24.0,14.9
27-09-19,02:00,21.0,23.0,22.0,24.0,14.9
27-09-19,08:00,21.0,23.0,22.0,24.0,14.9
27-09-19,14:00,21.0,22.0,22.0,21.0,20.4
27-09-19,16:00,21.0,22.0,23.0,21.0,19.3
27-09-19,16:00,21.0,22.0,23.0,21.0,19.3
27-09-19,22:00,21.0,23.0,22.0,23.0,16.5
28-09-19,02:00,21.0,23.0,22.0,24.0,15.4
28-09-19,02:00,21.0,23.0,22.0,24.0,15.4
28-09-19,08:00,21.0,24.0,22.0,24.0,15.6
28-09-19,10:00,21.0,24.0,22.0,12.0,17.5
28-09-19,22:00,22.0,24.0,22.0,24.0,14.9
29-09-19,02:00,21.0,24.0,22.0,24.0,13.6
29-09-19,08:00,21.0,24.0,22.0,24.0,13.0
29-09-19,10:00,21.0,24.0,23.0,24.0,17.4
29-09-19,14:00,21.0,23.0,24.0,23.0,19.1
29-09-19,14:00,21.0,23.0,24.0,23.0,19.1
29-09-19,16:00,21.0,23.0,22.0,22.0,19.6
29-09-19,22:00,22.0,24.0,23.0,24.0,16.2
30-09-19,02:00,21.0,24.0,22.0,24.0,17.6
30-09-19,10:00,22.0,24.0,23.0,24.0,18.9
30-09-19,10:00,22.0,24.0,23.0,24.0,18.9
30-09-19,22:00,22.0,24.0,23.0,25.0,14.9
01-10-19,02:00,22.0,24.0,23.0,25.0,14.9
01-10-19,02:00,22.0,24.0,23.0,25.0,14.9
01-10-19,08:00,21.0,24.0,22.0,25.0,11.7
01-10-19,10:00,22.0,24.0,22.0,25.0,15.5
01-10-19,16:00,21.0,23.0,23.0,23.0,19.5
01-10-19,22:00,22.0,24.0,23.0,24.0,14.9
01-10-19,22:00,22.0,24.0,23.0,24.0,14.9
02-10-19,08:00,21.0,24.0,22.0,25.0,17.3
02-10-19,08:00,21.0,24.0,22.0,25.0,17.4
02-10-19,14:00,21.0,24.0,22.0,23.0,18.3
02-10-19,16:00,21.0,24.0,22.0,23.0,18.3
02-10-19,22:00,21.0,24.0,22.0,23.0,18.3
03-10-19,02:00,21.0,24.0,22.0,23.0,18.3
03-10-19,08:00,21.0,24.0,22.0,23.0,18.3
03-10-19,10:00,21.0,24.0,22.0,23.0,18.3
03-10-19,14:00,21.0,24.0,22.0,23.0,18.3
03-10-19,16:00,21.0,23.0,19.0,23.0,13.0
03-10-19,22:00,21.0,24.0,22.0,25.0,8.7
04-10-19,02:00,21.0,24.0,21.0,25.0,9.3
04-10-19,08:00,21.0,24.0,21.0,25.0,9.3
04-10-19,14:00,20.0,23.0,21.0,24.0,15.1
04-10-19,16:00,21.0,23.0,22.0,23.0,14.0
04-10-19,22:00,21.0,24.0,22.0,25.0,10.6
05-10-19,02:00,21.0,23.0,21.0,25.0,9.4
05-10-19,08:00,20.0,23.0,21.0,24.0,8.5
05-10-19,10:00,20.0,23.0,21.0,24.0,9.8
05-10-19,14:00,20.0,23.0,21.0,24.0,11.1
05-10-19,22:00,20.0,25.0,21.0,12.0,7.9
06-10-19,22:00,21.0,23.0,21.0,25.0,2.5
06-10-19,22:00,21.0,23.0,21.0,25.0,2.5
07-10-19,02:00,20.0,24.0,20.0,25.0,0.7
07-10-19,08:00,20.0,23.0,20.0,24.0,0.5
07-10-19,10:00,22.0,23.0,22.0,24.0,6.5
07-10-19,14:00,21.0,24.0,22.0,25.0,11.3
07-10-19,16:00,21.0,24.0,23.0,24.0,10.2
08-10-19,02:00,20.0,24.0,21.0,25.0,0.7
08-10-19,08:00,20.0,23.0,21.0,25.0,1.7
08-10-19,08:00,20.0,23.0,21.0,25.0,1.8
08-10-19,10:00,20.0,24.0,21.0,24.0,7.8
08-10-19,22:00,21.0,24.0,22.0,25.0,10.0
09-10-19,02:00,20.0,23.0,21.0,24.0,9.7
09-10-19,08:00,21.0,23.0,21.0,24.0,10.8
09-10-19,10:00,22.0,23.0,22.0,24.0,13.7
09-10-19,14:00,21.0,23.0,22.0,24.0,16.0
09-10-19,16:00,21.0,23.0,23.0,24.0,14.4
09-10-19,16:00,21.0,23.0,23.0,24.0,14.4
09-10-19,22:00,22.0,24.0,22.0,25.0,11.5
10-10-19,02:00,21.0,24.0,22.0,25.0,10.5
10/10/2019,22:00,21.0,23.0,22.0,24.0,13.4
12/10/2019,02:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,08:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,10:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,10:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,14:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,16:00,22.0,24.0,23.0,25.0,13.0
12/10/2019,22:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,02:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,08:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,10:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,14:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,16:00,22.0,24.0,23.0,25.0,13.0
13/10/2019,22:00,22.0,24.0,23.0,25.0,13.0
14/10/2019,02:00,22.0,24.0,23.0,25.0,13.0
14/10/2019,08:00,22.0,24.0,23.0,25.0,13.0
14/10/2019,10:00,22.0,24.0,23.0,25.0,13.0
14/10/2019,16:00,22.0,24.0,22.0,23.0,20.6
14/10/2019,16:00,22.0,24.0,22.0,23.0,20.5
14/10/2019,22:00,22.0,24.0,23.0,25.0,13.0
15/10/2019,02:00,22.0,24.0,22.0,26.0,10.9
15/10/2019,08:00,21.0,25.0,22.0,26.0,10.9
15/10/2019,10:00,22.0,24.0,22.0,26.0,15.9
15/10/2019,22:00,23.0,24.0,23.0,25.0,16.2
15/10/2019,22:00,23.0,24.0,23.0,25.0,16.2
16/10/2019,02:00,22.0,24.0,22.0,26.0,11.9
16/10/2019,08:00,22.0,24.0,22.0,26.0,13.9
16/10/2019,08:00,22.0,24.0,22.0,26.0,13.9
16/10/2019,14:00,21.0,24.0,22.0,25.0,17.3
16/10/2019,14:00,22.0,24.0,22.0,25.0,17.3
16/10/2019,16:00,22.0,24.0,23.0,24.0,17.6
17/10/2019,02:00,23.0,24.0,23.0,26.0,10.2
17/10/2019,02:00,23.0,24.0,23.0,26.0,10.1
17/10/2019,08:00,22.0,25.0,23.0,26.0,9.1
17/10/2019,10:00,22.0,25.0,23.0,26.0,14.1
17/10/2019,22:00,22.0,25.0,23.0,26.0,11.2
18/10/2019,08:00,21.0,25.0,22.0,27.0,8.4
18/10/2019,10:00,22.0,24.0,23.0,26.0,12.2
18/10/2019,14:00,21.0,24.0,22.0,24.0,19.8
18/10/2019,16:00,22.0,24.0,23.0,24.0,19.0
18/10/2019,22:00,22.0,24.0,23.0,26.0,13.0
19/10/2019,02:00,22.0,24.0,22.0,26.0,11.5
19/10/2019,08:00,21.0,24.0,22.0,26.0,7.9
19/10/2019,10:00,22.0,24.0,22.0,26.0,12.5
19/10/2019,22:00,22.0,24.0,22.0,25.0,12.8
20/10/2019,02:00,21.0,24.0,22.0,25.0,10.2
20/10/2019,10:00,22.0,24.0,22.0,26.0,14.9
20/10/2019,14:00,22.0,24.0,24.0,24.0,20.8
20/10/2019,14:00,22.0,24.0,24.0,24.0,20.7
20/10/2019,16:00,23.0,24.0,23.0,24.0,20.2
20/10/2019,22:00,23.0,25.0,23.0,26.0,13.0
21/10/2019,02:00,22.0,25.0,23.0,27.0,11.1
21/10/2019,08:00,22.0,25.0,23.0,27.0,10.4
21/10/2019,14:00,22.0,25.0,23.0,26.0,21.0
21/10/2019,16:00,23.0,25.0,24.0,25.0,20.6
21/10/2019,22:00,22.0,25.0,23.0,27.0,12.5
22/10/2019,10:00,22.0,26.0,23.0,27.0,16.6
22/10/2019,14:00,22.0,26.0,23.0,26.0,20.9
22/10/2019,16:00,22.0,25.0,24.0,25.0,20.2
22/10/2019,22:00,23.0,25.0,23.0,27.0,12.4
23/10/2019,08:00,22.0,26.0,23.0,27.0,10.3
23/10/2019,10:00,23.0,26.0,23.0,27.0,13.3
23/10/2019,22:00,23.0,26.0,24.0,27.0,12.1
24/10/2019,02:00,22.0,26.0,23.0,27.0,11.9
24/10/2019,08:00,22.0,26.0,23.0,28.0,9.0
24/10/2019,16:00,23.0,25.0,24.0,25.0,21.2
25/10/2019,02:00,23.0,26.0,23.0,28.0,8.9
25/10/2019,02:00,23.0,26.0,23.0,28.0,8.9
25/10/2019,08:00,22.0,26.0,23.0,28.0,7.6
25/10/2019,14:00,23.0,26.0,23.0,27.0,19.8
25/10/2019,14:00,23.0,26.0,23.0,27.0,19.8
26/10/2019,14:00,22.0,25.0,23.0,25.0,19.8
26/10/2019,16:00,22.0,24.0,23.0,24.0,19.3
27/10/2019,02:00,22.0,24.0,21.0,25.0,12.3
27/10/2019,02:00,22.0,24.0,21.0,25.0,12.2
27/10/2019,08:00,23.0,25.0,24.0,27.0,14.0
27/10/2019,10:00,23.0,26.0,24.0,27.0,21.8
27/10/2019,16:00,23.0,25.0,24.0,25.0,18.6
28/10/2019,02:00,23.0,26.0,23.0,27.0,9.1
28/10/2019,08:00,22.0,26.0,23.0,28.0,7.8
28/10/2019,16:00,22.0,25.0,23.0,27.0,10.9
28/10/2019,16:00,22.0,25.0,23.0,27.0,10.9
28/10/2019,22:00,23.0,26.0,23.0,28.0,4.1
29/10/2019,02:00,22.0,26.0,23.0,29.0,4.7
29/10/2019,02:00,22.0,26.0,23.0,29.0,4.7
29/10/2019,08:00,22.0,26.0,23.0,28.0,6.6
29/10/2019,08:00,22.0,26.0,23.0,28.0,6.7
29/10/2019,22:00,22.0,25.0,23.0,28.0,6.1
30/10/2019,02:00,22.0,26.0,23.0,28.0,4.5
30/10/2019,08:00,22.0,26.0,22.0,29.0,2.8
30/10/2019,10:00,22.0,26.0,23.0,28.0,9.5
30/10/2019,10:00,22.0,26.0,23.0,28.0,9.3
30/10/2019,14:00,22.0,26.0,23.0,28.0,7.9
30/10/2019,16:00,22.0,26.0,23.0,28.0,5.8
30/10/2019,22:00,22.0,26.0,23.0,28.0,-0.3
30/10/2019,22:00,22.0,26.0,23.0,28.0,-0.3
31/10/2019,02:00,22.0,26.0,22.0,29.0,-1.9
31/10/2019,08:00,21.0,26.0,22.0,29.0,-1.1
31/10/2019,10:00,21.0,26.0,22.0,28.0,6.7
31/10/2019,14:00,21.0,26.0,22.0,28.0,8.3
31/10/2019,14:00,21.0,26.0,22.0,27.0,8.1
31/10/2019,16:00,21.0,25.0,22.0,27.0,5.5
31/10/2019,22:00,22.0,26.0,23.0,29.0,-0.1
31/10/2019,22:00,22.0,26.0,23.0,29.0,-0.2
01/11/2019,02:00,22.0,26.0,22.0,28.0,-1.8
01/11/2019,02:00,22.0,26.0,22.0,28.0,-1.8
01/11/2019,08:00,22.0,25.0,22.0,28.0,-0.4
01/11/2019,10:00,22.0,26.0,23.0,28.0,6.5
01/11/2019,10:00,22.0,26.0,23.0,28.0,6.4
01/11/2019,22:00,22.0,26.0,24.0,28.0,4.5
02/11/2019,02:00,22.0,25.0,24.0,28.0,7.5
02/11/2019,08:00,22.0,25.0,23.0,28.0,6.8
02/11/2019,10:00,22.0,25.0,23.0,28.0,11.5
02/11/2019,16:00,22.0,25.0,23.0,27.0,10.8
02/11/2019,22:00,23.0,26.0,24.0,28.0,7.0
03/11/2019,02:00,22.0,26.0,23.0,28.0,5.6
03/11/2019,08:00,22.0,26.0,23.0,28.0,7.4
03/11/2019,14:00,23.0,25.0,23.0,26.0,16.9
03/11/2019,16:00,22.0,26.0,25.0,27.0,16.0
03/11/2019,22:00,23.0,26.0,23.0,28.0,15.0
04/11/2019,02:00,22.0,26.0,23.0,27.0,15.1
04/11/2019,08:00,22.0,26.0,23.0,27.0,14.8
04/11/2019,10:00,22.0,26.0,23.0,27.0,14.0
04/11/2019,14:00,22.0,25.0,23.0,27.0,14.1
05/11/2019,16:00,22.0,25.0,23.0,27.0,11.2
05/11/2019,16:00,22.0,25.0,23.0,27.0,11.2
05/11/2019,22:00,22.0,26.0,23.0,28.0,10.4
06/11/2019,02:00,21.0,25.0,22.0,28.0,8.6
06/11/2019,08:00,21.0,25.0,22.0,29.0,8.3
06/11/2019,10:00,22.0,25.0,23.0,28.0,17.3
06/11/2019,14:00,22.0,25.0,23.0,26.0,13.4
06/11/2019,14:00,22.0,25.0,23.0,26.0,13.4
06/11/2019,22:00,22.0,25.0,24.0,27.0,8.7
06/11/2019,22:00,22.0,25.0,24.0,27.0,8.7
07/11/2019,02:00,21.0,25.0,22.0,29.0,6.8
07/11/2019,08:00,22.0,26.0,22.0,28.0,8.2
07/11/2019,10:00,22.0,26.0,23.0,28.0,12.2
07/11/2019,14:00,22.0,25.0,23.0,27.0,13.7
08/11/2019,02:00,22.0,25.0,23.0,28.0,3.9
08/11/2019,08:00,22.0,26.0,23.0,29.0,7.4
08/11/2019,10:00,22.0,26.0,23.0,28.0,14.1
08/11/2019,14:00,22.0,26.0,23.0,27.0,13.0
08/11/2019,22:00,22.0,26.0,23.0,28.0,8.1
09/11/2019,02:00,22.0,25.0,23.0,28.0,7.3
09/11/2019,10:00,22.0,25.0,23.0,28.0,14.4
09/11/2019,14:00,22.0,25.0,23.0,27.0,12.7
09/11/2019,14:00,22.0,25.0,23.0,27.0,12.7
10/11/2019,02:00,22.0,26.0,23.0,28.0,5.9
10/11/2019,08:00,22.0,26.0,23.0,28.0,6.8
10/11/2019,10:00,22.0,26.0,23.0,28.0,8.1
10/11/2019,14:00,22.0,26.0,24.0,28.0,8.3
10/11/2019,16:00,22.0,26.0,23.0,28.0,7.7
10/11/2019,16:00,22.0,26.0,23.0,28.0,7.6
10/11/2019,22:00,22.0,25.0,23.0,27.0,6.2
11/11/2019,02:00,19.0,19.0,20.0,23.0,6.3
11/11/2019,08:00,20.0,24.0,21.0,26.0,6.2
11/11/2019,08:00,21.0,24.0,21.0,26.0,6.3
11/11/2019,10:00,21.0,24.0,22.0,27.0,8.9
11/11/2019,14:00,22.0,25.0,23.0,27.0,9.6
11/11/2019,16:00,22.0,25.0,23.0,27.0,6.9
11/11/2019,22:00,22.0,25.0,23.0,27.0,4.4
12/11/2019,02:00,22.0,26.0,23.0,27.0,4.5
12/11/2019,14:00,21.0,25.0,22.0,27.0,11.9
12/11/2019,22:00,22.0,25.0,23.0,27.0,9.2
13/11/2019,02:00,21.0,25.0,22.0,27.0,9.4
13/11/2019,02:00,22.0,25.0,22.0,27.0,9.4
13/11/2019,08:00,21.0,25.0,23.0,27.0,8.7
13/11/2019,14:00,21.0,25.0,23.0,27.0,16.8
13/11/2019,16:00,22.0,25.0,23.0,27.0,10.4
14/11/2019,16:00,21.0,25.0,22.0,27.0,6.0
14/11/2019,22:00,22.0,25.0,23.0,27.0,7.1
14/11/2019,22:00,22.0,25.0,23.0,27.0,7.2
15/11/2019,08:00,21.0,25.0,22.0,27.0,7.9
15/11/2019,08:00,21.0,25.0,22.0,27.0,7.9
15/11/2019,10:00,22.0,25.0,24.0,27.0,9.5
15/11/2019,22:00,22.0,25.0,23.0,27.0,9.8
16/11/2019,02:00,22.0,25.0,22.0,27.0,8.1
16/11/2019,14:00,22.0,25.0,23.0,26.0,16.5
17/11/2019,08:00,21.0,25.0,22.0,27.0,8.2
17/11/2019,14:00,22.0,25.0,24.0,27.0,16.2
17/11/2019,16:00,22.0,25.0,23.0,27.0,14.2
18/11/2019,02:00,22.0,25.0,23.0,27.0,9.4
18/11/2019,08:00,22.0,25.0,23.0,27.0,10.1
18/11/2019,10:00,21.0,25.0,22.0,27.0,11.2
20/11/2019,16:00,21.0,25.0,23.0,27.0,9.9
20/11/2019,22:00,22.0,25.0,23.0,27.0,8.2
21/11/2019,02:00,22.0,25.0,23.0,27.0,7.8
21/11/2019,08:00,21.0,25.0,22.0,27.0,8.9
21/11/2019,10:00,21.0,25.0,22.0,26.0,10.6
21/11/2019,16:00,21.0,25.0,22.0,26.0,10.7
21/11/2019,16:00,21.0,25.0,22.0,26.0,10.7
21/11/2019,22:00,22.0,25.0,23.0,27.0,9.3
22/11/2019,02:00,22.0,25.0,23.0,27.0,6.8
22/11/2019,08:00,22.0,25.0,23.0,28.0,6.3
22/11/2019,10:00,22.0,25.0,23.0,27.0,13.0
22/11/2019,16:00,22.0,25.0,24.0,27.0,8.1
22/11/2019,16:00,22.0,24.0,24.0,27.0,8.0
22/11/2019,22:00,22.0,25.0,23.0,28.0,3.2
23/11/2019,02:00,21.0,25.0,22.0,28.0,2.9
23/11/2019,02:00,21.0,25.0,22.0,28.0,2.8
23/11/2019,08:00,21.0,25.0,22.0,28.0,2.6
23/11/2019,10:00,21.0,25.0,22.0,28.0,4.3
23/11/2019,22:00,22.0,25.0,23.0,28.0,3.2
24/11/2019,02:00,21.0,25.0,22.0,28.0,2.3
24/11/2019,10:00,22.0,25.0,23.0,28.0,9.8
24/11/2019,10:00,22.0,25.0,23.0,28.0,9.8
24/11/2019,14:00,22.0,26.0,23.0,28.0,10.3
24/11/2019,16:00,22.0,25.0,23.0,27.0,8.3
25/11/2019,16:00,21.0,24.0,21.0,26.0,7.0
25/11/2019,16:00,21.0,24.0,20.0,26.0,6.9
25/11/2019,22:00,22.0,25.0,23.0,28.0,4.5
26/11/2019,02:00,22.0,25.0,23.0,28.0,4.1
26/11/2019,08:00,21.0,26.0,23.0,28.0,4.0
26/11/2019,10:00,21.0,25.0,22.0,28.0,5.6
27/11/2019,08:00,21.0,25.0,22.0,28.0,4.0
27/11/2019,10:00,22.0,25.0,23.0,28.0,12.3
27/11/2019,22:00,21.0,25.0,22.0,27.0,9.1
28/11/2019,02:00,21.0,25.0,22.0,27.0,6.8
28/11/2019,08:00,21.0,25.0,22.0,28.0,7.3
28/11/2019,10:00,21.0,25.0,22.0,27.0,9.9
28/11/2019,14:00,21.0,25.0,22.0,27.0,11.1
28/11/2019,14:00,21.0,25.0,22.0,27.0,11.2
28/11/2019,16:00,21.0,24.0,22.0,26.0,10.3
29/11/2019,02:00,21.0,25.0,22.0,27.0,8.2
29/11/2019,10:00,22.0,25.0,22.0,27.0,9.3
30/11/2019,02:00,21.0,25.0,22.0,27.0,3.3
30/11/2019,08:00,21.0,25.0,22.0,27.0,1.5
30/11/2019,08:00,21.0,25.0,22.0,27.0,1.5
30/11/2019,10:00,21.0,25.0,22.0,27.0,2.6
30/11/2019,10:00,21.0,25.0,22.0,26.0,2.6
30/11/2019,14:00,21.0,25.0,23.0,27.0,5.0
30/11/2019,14:00,21.0,25.0,23.0,27.0,4.8
30/11/2019,22:00,22.0,25.0,23.0,27.0,0.6
01/12/2019,02:00,21.0,25.0,22.0,27.0,1.0
01/12/2019,08:00,21.0,25.0,22.0,27.0,0.4
01/12/2019,10:00,21.0,25.0,22.0,27.0,9.6
01/12/2019,14:00,21.0,25.0,22.0,27.0,5.0
01/12/2019,16:00,22.0,25.0,23.0,27.0,2.2
01/12/2019,22:00,22.0,25.0,23.0,27.0,-0.1
02/12/2019,08:00,21.0,25.0,22.0,27.0,2.2
02/12/2019,10:00,21.0,25.0,23.0,28.0,2.9
02/12/2019,22:00,22.0,25.0,23.0,28.0,2.5
03/12/2019,02:00,21.0,25.0,22.0,28.0,1.9
03/12/2019,08:00,21.0,25.0,22.0,28.0,1.8
03/12/2019,10:00,20.0,25.0,22.0,27.0,4.4
03/12/2019,16:00,20.0,24.0,22.0,27.0,0.6
03/12/2019,22:00,20.0,24.0,21.0,27.0,-1.6
04/12/2019,02:00,20.0,24.0,21.0,27.0,-0.3
04/12/2019,22:00,21.0,25.0,21.0,27.0,0.0
05/12/2019,02:00,21.0,24.0,21.0,28.0,-0.6
05/12/2019,08:00,21.0,25.0,21.0,28.0,-1.0
05/12/2019,10:00,20.0,24.0,21.0,27.0,8.9
05/12/2019,14:00,20.0,24.0,21.0,27.0,3.2
05/12/2019,16:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,02:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,08:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,10:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,16:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,16:00,20.0,24.0,21.0,27.0,3.2
06/12/2019,22:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,02:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,02:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,08:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,10:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,14:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,16:00,20.0,24.0,21.0,27.0,3.2
07/12/2019,22:00,20.0,24.0,21.0,27.0,3.2
08/12/2019,08:00,20.0,24.0,21.0,27.0,3.2
08/12/2019,10:00,20.0,24.0,21.0,27.0,3.2
08/12/2019,14:00,20.0,24.0,21.0,27.0,3.2
08/12/2019,16:00,20.0,24.0,21.0,27.0,3.2
